square,model,run,seed,mae,rmse,mape,mase,train_seconds,predict_seconds,predict_ms_per_step,best_epoch
5161,naive,0,,338.59370856814917,619.040031777993,25.93976914184019,0.974669224646653,0.0,1.1399999493733048e-05,1.130952330727485e-05,
5161,arima,0,,83.7887839449984,131.54096306063425,7.7420155263007455,0.2411927540742253,33.79942750000009,0.10912019999977929,0.1082541666664477,
5161,arima,1,,83.7887839449984,131.54096306063425,7.7420155263007455,0.2411927540742253,31.181469000000106,0.1073236000001998,0.10647182539702361,
5161,arima,2,,83.7887839449984,131.54096306063425,7.7420155263007455,0.2411927540742253,31.060742699999537,0.10859929999969609,0.10773740079334929,
5161,lstm,0,42,92.8164907770154,144.91961417232866,8.47285921553467,0.26717973432707404,111.63412719999997,0.18704989999969257,0.185565376983822,30
5161,lstm,1,7,94.3033220315907,147.07386754367525,8.519727364283781,0.27145969768553563,124.0410851000006,0.15579080000043177,0.15455436507979342,35
5161,lstm,2,123,90.45780761497699,140.9335071672073,8.432562423666242,0.26039007512621976,121.38105369999994,0.1967242000000624,0.19516289682545873,34
5161,tcn,0,42,87.05543790495881,130.21871195053137,8.201865053911922,0.25059608024885416,240.23567599999933,0.14095929999984946,0.13984057539667605,34
5161,tcn,1,7,88.42939026526724,136.16022917085786,8.27911428446819,0.2545511126308387,177.3475855000006,0.14560919999894395,0.14445357142752377,24
5161,tcn,2,123,87.7313925222815,129.9155869346891,9.329469956802367,0.25254186998472467,128.81003520000013,0.15187540000079025,0.15067003968332365,16
5059,naive,0,,171.73574568733338,245.87018388441297,18.018542650137704,0.6353899111971529,0.0,1.1899999663000926e-05,1.1805555221231078e-05,
5059,arima,0,,66.5585343580045,97.25293867535025,6.427387778847544,0.24625404027499637,47.655674600000566,0.10946979999971518,0.1086009920632095,
5059,arima,1,,66.5585343580045,97.25293867535025,6.427387778847544,0.24625404027499637,52.57006299999921,0.13596240000151738,0.13488333333483868,
5059,arima,2,,66.5585343580045,97.25293867535025,6.427387778847544,0.24625404027499637,57.00878340000054,0.13764439999977185,0.13655198412675779,
5059,lstm,0,42,67.51756349607783,98.87960027500243,6.527901404030624,0.24980226744480938,210.39292589999968,0.4066884999992908,0.4034608134913599,40
5059,lstm,1,7,68.98903658120902,101.36313523506637,6.649297639281985,0.2552464406956871,282.22771940000166,0.3657698999995773,0.36286696428529497,30
5059,lstm,2,123,72.22474754844066,106.27468195577177,6.983417039801496,0.2672179618015613,189.9280588999991,0.43432600000051025,0.43087896825447447,17
5059,tcn,0,42,70.04774586669681,100.56614502979258,6.7760012605166615,0.25916346563535464,496.5659159000006,0.3920264999997016,0.38891517857113256,23
5059,tcn,1,7,71.1286823867292,102.845382401711,7.084172933511663,0.26316272715615396,273.71677400000044,0.3740670000006503,0.3710982142863594,10
5059,tcn,2,123,78.7540742473317,109.56061886989146,8.624858008417878,0.29137524073485194,222.07601389999945,0.32569190000140225,0.3231070436521848,7
5259,naive,0,,470.32052456386504,861.6205872261353,71.62103024229704,0.8981184103619978,0.0,2.370000038354192e-05,2.35119051424027e-05,
5259,arima,0,,62.913938151878185,92.22911180140298,6.794500548774559,0.12013969871924048,61.19100789999902,0.22236579999844253,0.22060099206194694,
5259,arima,1,,62.913938151878185,92.22911180140298,6.794500548774559,0.12013969871924048,61.07214260000001,0.24848649999876216,0.2465143849194069,
5259,arima,2,,62.913938151878185,92.22911180140298,6.794500548774559,0.12013969871924048,61.00841650000075,0.2276081999989401,0.22580178571323423,
5259,lstm,0,42,67.00683980578387,97.64631991514412,7.30956862829242,0.12795545443303266,241.8110058000002,0.15669100000013714,0.15544742063505668,79
5259,lstm,1,7,66.41369084591531,95.41670781634295,7.106570075921298,0.12682278432164634,166.50952169999982,0.14532489999874088,0.14417152777652864,53
5259,lstm,2,123,66.46505216099396,94.94946257287995,7.294514883652757,0.12692086327045538,207.3055217000001,0.14497449999907985,0.1438239087292459,68
5259,tcn,0,42,62.39779108421135,90.70531232667497,6.897411265587193,0.11915407049398746,248.1177381999987,0.13740990000042075,0.13631934523851263,37
5259,tcn,1,7,80.13190493972863,126.95842065309557,7.667330600694987,0.1530189207678842,133.67786499999966,0.12440790000073321,0.1234205357150131,17
5259,tcn,2,123,64.04313390889494,92.9660065978955,7.149023120036711,0.12229599733967564,214.7453772000008,0.12961549999999988,0.12858680555555543,30
