square,model,run,seed,mae,rmse,mape,mase,train_seconds,predict_seconds,predict_ms_per_step,best_epoch
5161,naive,0,,338.5937085681492,619.040031777993,25.93976914184019,0.974669224646653,0.0,1.1399999493733048e-05,1.130952330727485e-05,
5161,persistence,0,,92.80191703069778,134.8777387227624,9.194349174686952,0.26713778262607024,0.0,7.2900002123788e-05,7.232143067836111e-05,
5161,arima,0,,76.86192208621782,117.12081050054938,7.326171198873954,0.2212532250567412,12.48322779999944,0.1164510999988124,0.1155268849194567,
5161,arima,1,,76.86192208621782,117.12081050054938,7.326171198873954,0.2212532250567412,12.42188299999907,0.1191026000014972,0.1181573412713265,
5161,arima,2,,76.86192208621782,117.12081050054938,7.326171198873954,0.2212532250567412,12.079922900000383,0.1149166000031982,0.1140045634952363,
5161,lstm,0,42.0,92.8164907770154,144.91961417232866,8.47285921553467,0.267179734327074,111.63412719999997,0.1870498999996925,0.185565376983822,30.0
5161,lstm,1,7.0,94.3033220315907,147.07386754367525,8.519727364283781,0.2714596976855356,124.0410851000006,0.1557908000004317,0.1545543650797934,35.0
5161,lstm,2,123.0,90.457807614977,140.9335071672073,8.432562423666242,0.2603900751262197,121.38105369999994,0.1967242000000624,0.1951628968254587,34.0
5161,tcn,0,42.0,87.05543790495881,130.21871195053137,8.201865053911922,0.2505960802488541,240.23567599999933,0.1409592999998494,0.139840575396676,34.0
5161,tcn,1,7.0,88.42939026526724,136.16022917085786,8.27911428446819,0.2545511126308387,177.3475855000006,0.1456091999989439,0.1444535714275237,24.0
5161,tcn,2,123.0,87.7313925222815,129.9155869346891,9.329469956802368,0.2525418699847246,128.81003520000013,0.1518754000007902,0.1506700396833236,16.0
5059,naive,0,,171.73574568733338,245.87018388441297,18.018542650137704,0.6353899111971529,0.0,1.1899999663000926e-05,1.1805555221231078e-05,
5059,persistence,0,,81.51690201532273,114.37504377238686,7.9590739887539526,0.30159718307499184,0.0,9.429999772692099e-05,9.35515850465486e-05,
5059,arima,0,,63.86246710956964,93.33093147935212,6.105577745027882,0.2362790992823191,18.59962710000036,0.1250049000009312,0.1240127976199714,
5059,arima,1,,63.86246710956964,93.33093147935212,6.105577745027882,0.2362790992823191,18.60797349999848,0.1167062000022269,0.1157799603196696,
5059,arima,2,,63.86246710956964,93.33093147935212,6.105577745027882,0.2362790992823191,18.819956899998942,0.1220111000002361,0.1210427579367422,
5059,lstm,0,42.0,67.51756349607783,98.87960027500245,6.527901404030624,0.2498022674448093,210.39292589999968,0.4066884999992908,0.4034608134913599,40.0
5059,lstm,1,7.0,68.98903658120902,101.36313523506637,6.649297639281985,0.2552464406956871,282.22771940000166,0.3657698999995773,0.3628669642852949,30.0
5059,lstm,2,123.0,72.22474754844066,106.27468195577175,6.983417039801496,0.2672179618015613,189.9280588999991,0.4343260000005102,0.4308789682544744,17.0
5059,tcn,0,42.0,70.04774586669681,100.56614502979258,6.7760012605166615,0.2591634656353546,496.5659159000006,0.3920264999997016,0.3889151785711325,23.0
5059,tcn,1,7.0,71.1286823867292,102.845382401711,7.084172933511663,0.2631627271561539,273.71677400000044,0.3740670000006503,0.3710982142863594,10.0
5059,tcn,2,123.0,78.7540742473317,109.56061886989146,8.624858008417878,0.2913752407348519,222.07601389999945,0.3256919000014022,0.3231070436521848,7.0
5259,naive,0,,470.320524563865,861.6205872261353,71.62103024229704,0.8981184103619978,0.0,2.370000038354192e-05,2.35119051424027e-05,
5259,persistence,0,,75.96750064123245,109.57840126549068,8.11478046069931,0.14506662446497814,0.0,7.420000110869296e-05,7.361111221100492e-05,
5259,arima,0,,63.19675562328603,92.70478961762072,6.830359993905967,0.120679763557106,25.32984679999936,0.1158066000025428,0.1148875000025226,
5259,arima,1,,63.19675562328603,92.70478961762072,6.830359993905967,0.120679763557106,25.37584210000205,0.142394400001649,0.1412642857159216,
5259,arima,2,,63.19675562328603,92.70478961762072,6.830359993905967,0.120679763557106,25.44644309999785,0.1280093000023043,0.1269933531768892,
5259,lstm,0,42.0,67.00683980578387,97.64631991514412,7.30956862829242,0.1279554544330326,241.8110058000002,0.1566910000001371,0.1554474206350566,79.0
5259,lstm,1,7.0,66.41369084591531,95.41670781634296,7.106570075921298,0.1268227843216463,166.50952169999982,0.1453248999987408,0.1441715277765286,53.0
5259,lstm,2,123.0,66.46505216099396,94.94946257287997,7.294514883652757,0.1269208632704553,207.3055217000001,0.1449744999990798,0.1438239087292459,68.0
5259,tcn,0,42.0,62.39779108421135,90.70531232667496,6.897411265587193,0.1191540704939874,248.1177381999987,0.1374099000004207,0.1363193452385126,37.0
5259,tcn,1,7.0,80.13190493972863,126.95842065309556,7.667330600694987,0.1530189207678842,133.67786499999966,0.1244079000007332,0.1234205357150131,17.0
5259,tcn,2,123.0,64.04313390889494,92.9660065978955,7.149023120036711,0.1222959973396756,214.7453772000008,0.1296154999999998,0.1285868055555554,30.0
